年,収入（控除後）[円],支出[円],貯蓄[円],累計貯蓄[円]
2022,859950,159600,700350,700350
2023,1719900,319200,1400700,2101050
2024,1719900,589200,1130700,3231750
2025,1719900,679200,1040700,4272450
2026,1719900,679200,1040700,5313150
2027,1719900,679200,1040700,6353850
2028,1719900,679200,1040700,7394550
2029,1719900,679200,1040700,8435250
2030,1719900,409200,1310700,9745950
2031,1719900,319200,1400700,11146650
2032,1719900,319200,1400700,12547350
2033,1719900,319200,1400700,13948050
2034,1719900,319200,1400700,15348750
2035,1719900,319200,1400700,16749450
2036,1719900,319200,1400700,18150150
2037,1719900,319200,1400700,19550850
2038,1719900,319200,1400700,20951550
2039,1719900,319200,1400700,22352250
2040,1719900,319200,1400700,23752950
2041,1719900,319200,1400700,25153650
2042,1719900,319200,1400700,26554350
2043,1719900,319200,1400700,27955050
2044,1719900,319200,1400700,29355750
2045,1719900,319200,1400700,30756450
2046,1719900,319200,1400700,32157150
2047,1719900,319200,1400700,33557850
2048,1719900,319200,1400700,34958550
2049,1719900,319200,1400700,36359250
2050,1719900,319200,1400700,37759950
2051,1719900,319200,1400700,39160650
2052,1719900,319200,1400700,40561350
2053,1719900,319200,1400700,41962050
2054,1719900,319200,1400700,43362750
2055,1719900,319200,1400700,44763450
2056,1719900,319200,1400700,46164150
2057,1719900,319200,1400700,47564850
2058,1719900,319200,1400700,48965550
2059,1719900,319200,1400700,50366250
2060,1719900,319200,1400700,51766950
2061,1719900,319200,1400700,53167650
2062,1719900,319200,1400700,54568350
2063,1719900,319200,1400700,55969050
2064,1576575,292600,1283975,57253025